replicate,length,angle,turns,operator,distance
1,-1,1,1,C,7.5
2,-1,1,1,C,9
3,-1,1,1,C,8
4,-1,1,1,C,6
1,-1,-1,-1,C,0
2,-1,-1,-1,C,7
3,-1,-1,-1,C,-0.5
4,-1,-1,-1,C,4
1,0,0,0,C,16.5
2,0,0,0,C,17
3,0,0,0,C,18.5
4,0,0,0,C,15.5
1,1,1,-1,C,0
2,1,1,-1,C,3.5
3,1,1,-1,C,0
4,1,1,-1,C,2.75
1,0,0,0,S,24
2,0,0,0,S,21
3,0,0,0,S,19.5
4,0,0,0,S,14.75
1,-1,-1,-1,S,4.5
2,-1,-1,-1,S,8.5
3,-1,-1,-1,S,4.75
4,-1,-1,-1,S,3.75
1,-1,1,1,S,28
2,-1,1,1,S,29
3,-1,1,1,S,29
4,-1,1,1,S,26
1,1,1,-1,S,-5.5
2,1,1,-1,S,-5.5
3,1,1,-1,S,-6
4,1,1,-1,S,-4.5
